,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Avoid a poorly-ventilated closed space,3.Neither,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,3.Neither,1.Very true,2.True,2.True,1.Very true,1.Very true,3.Neither,4.Not true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,2.True,1.Very true,1.Very true,2.True,2.True,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,2.True,1.Very true,1.Very true,3.Neither
Avoid large gatherings,3.Neither,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,1.Very true,1.Very true,3.Neither,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,2.True,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,3.Neither,1.Very true,1.Very true,3.Neither
Avoid conversations or shouting in close proximity,3.Neither,1.Very true,2.True,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,3.Neither,1.Very true,2.True,2.True,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,2.True,1.Very true,1.Very true,2.True,2.True,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,2.True,1.Very true,1.Very true,1.Very true
Avoid places where items 1-3 above overlap,3.Neither,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,3.Neither,1.Very true,2.True,2.True,1.Very true,1.Very true,3.Neither,4.Not true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,2.True,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,2.True,1.Very true,1.Very true,3.Neither
Do not go to dinner with friends,3.Neither,1.Very true,2.True,1.Very true,2.True,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,1.Very true,1.Very true,3.Neither,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,2.True,1.Very true,1.Very true,2.True,3.Neither,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,3.Neither,1.Very true,1.Very true,1.Very true
Do not go to mass gatherings,3.Neither,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,1.Very true,1.Very true,3.Neither,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,2.True,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,2.True,1.Very true,1.Very true,3.Neither
Participate in virtual events using online tools,3.Neither,2.True,3.Neither,2.True,2.True,3.Neither,2.True,4.Not true,2.True,2.True,3.Neither,4.Not true,1.Very true,1.Very true,3.Neither,4.Not true,2.True,3.Neither,5.Not at all,2.True,3.Neither,1.Very true,2.True,3.Neither,2.True,2.True,1.Very true,2.True,4.Not true,3.Neither,1.Very true,1.Very true,2.True,2.True,2.True,2.True,2.True,2.True,3.Neither,2.True,1.Very true,4.Not true,2.True,2.True,3.Neither,1.Very true,1.Very true,2.True,2.True,2.True
Undertake frequent handwashing,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true
Undertake cough etiquette (use handkerchiefs or sleeves instead of hands),3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true
Disinfect things around,3.Neither,1.Very true,2.True,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,2.True,1.Very true,1.Very true,2.True,2.True,1.Very true,2.True,1.Very true,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,3.Neither,2.True,2.True,1.Very true,1.Very true,2.True
Avoid going out when you have a cold,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true
Avoid going to clinic even when having a cold symptom,3.Neither,4.Not true,4.Not true,4.Not true,3.Neither,4.Not true,4.Not true,2.True,4.Not true,2.True,3.Neither,4.Not true,2.True,3.Neither,4.Not true,2.True,4.Not true,3.Neither,1.Very true,4.Not true,4.Not true,2.True,4.Not true,4.Not true,2.True,4.Not true,3.Neither,4.Not true,3.Neither,4.Not true,4.Not true,4.Not true,4.Not true,3.Neither,4.Not true,4.Not true,4.Not true,4.Not true,4.Not true,4.Not true,4.Not true,2.True,4.Not true,2.True,3.Neither,4.Not true,4.Not true,2.True,3.Neither,4.Not true
Prepare consultation and transportation methods for when you feel ill,3.Neither,2.True,3.Neither,3.Neither,2.True,2.True,2.True,3.Neither,2.True,2.True,3.Neither,3.Neither,1.Very true,2.True,2.True,2.True,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,2.True,2.True,2.True,2.True,2.True,2.True,2.True,3.Neither,2.True,1.Very true,1.Very true,2.True,2.True,2.True,2.True,2.True,3.Neither,1.Very true,2.True,2.True,2.True,1.Very true,3.Neither,2.True,2.True,1.Very true,2.True,3.Neither
Always wear a surgical-style mask when going out,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true
Stockpile surgical-style masks,3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,2.True,3.Neither,2.True,3.Neither,2.True,2.True,2.True,3.Neither,2.True,2.True,3.Neither,5.Not at all,2.True,3.Neither,2.True,2.True,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,2.True,2.True,3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,2.True,3.Neither
"Stockpile food, toilet paper, tissue paper, etc.",3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,3.Neither,5.Not at all,2.True,3.Neither,2.True,3.Neither,3.Neither,2.True,2.True,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,2.True,2.True,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither
Avoid contact with younger people,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,2.True,3.Neither,2.True,2.True,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither,5.Not at all,2.True,2.True,1.Very true,2.True,2.True,2.True,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,3.Neither,2.True,3.Neither,4.Not true,2.True,2.True,2.True,3.Neither,2.True,3.Neither,2.True,2.True,2.True,3.Neither,3.Neither,3.Neither,2.True,2.True,3.Neither
Avoid contact with older people,3.Neither,1.Very true,2.True,3.Neither,3.Neither,2.True,2.True,1.Very true,1.Very true,1.Very true,3.Neither,3.Neither,3.Neither,2.True,2.True,1.Very true,1.Very true,3.Neither,5.Not at all,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,2.True,3.Neither,1.Very true,2.True,2.True,2.True,1.Very true,1.Very true,3.Neither,1.Very true,2.True,1.Very true,2.True,1.Very true,3.Neither,2.True,3.Neither,1.Very true,1.Very true,3.Neither
Get sufficient rest and sleep,3.Neither,1.Very true,1.Very true,1.Very true,4.Not true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true
Eat a nutritious diet,3.Neither,1.Very true,1.Very true,1.Very true,4.Not true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,2.True
Do exercise such as jogging or exercise using DVD,3.Neither,2.True,4.Not true,2.True,4.Not true,3.Neither,2.True,5.Not at all,3.Neither,2.True,3.Neither,4.Not true,1.Very true,1.Very true,2.True,5.Not at all,2.True,3.Neither,5.Not at all,2.True,3.Neither,2.True,4.Not true,4.Not true,2.True,2.True,2.True,3.Neither,3.Neither,3.Neither,2.True,1.Very true,2.True,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,2.True,2.True,4.Not true,2.True,2.True,3.Neither,2.True,1.Very true,2.True,4.Not true,3.Neither
